PMID	Substances
8640357	Indomethacin
7562546	Phorbol 12,13-Dibutyrate
7562546	Calcimycin
7562546	Zymosan
7562546	Calcium
7562546	Protein Kinase C
7628398	Vasopressins
7628398	Nitric Oxide
7628398	Adrenocorticotropic Hormone
7628398	Arginine
7628398	NG-Nitroarginine Methyl Ester
7628398	Ibuprofen
7748048	Naproxen
7748048	Verapamil
7748048	Ibuprofen
7797113	Colforsin
7797113	Histamine
7797113	Dinoprostone
7797113	Acetylcholine
7797113	Aspirin
7797113	Prostaglandin D2
7797113	Ibuprofen
8620669	zileuton
8620669	Naproxen
8620669	Warfarin
8620669	Terfenadine
8620669	Prednisolone
8620669	Theophylline
8620669	Ibuprofen
8620669	Hydroxyurea
7897758	Diclofenac
7897758	Sulindac
7897758	Naproxen
7897758	Creatinine
7589030	Acetaminophen
7589030	Ethanol
7589030	Aspirin
7589030	Ibuprofen
7565469	Nitroarginine
7565469	Arginine
7565469	Acetylcholine
7565469	Ibuprofen
7988541	Nitroprusside
7988541	Phenylephrine
7988541	Nitric Oxide
7988541	Adenosine Triphosphate
7988541	Carbachol
7988541	Arginine
7988541	Bradykinin
7988541	NG-Nitroarginine Methyl Ester
7988541	Ibuprofen
7993984	Cholestyramine Resin
7993984	Colestipol
7993984	Ibuprofen
7932515	Misoprostol
7932515	Ibuprofen
8054251	Piroxicam
8054251	Flurbiprofen
8054251	Ketoprofen
8054251	Methotrexate
7513099	Ibuprofen
7513099	Tacrolimus
8056271	Carbamazepine
8056271	Erythromycin
8056271	Terfenadine
8056271	Lithium
8056271	Propranolol
8056271	Theophylline
8056271	Aspirin
8056271	Ibuprofen
8056271	Epinephrine
7939134	Gold Sodium Thiomalate
7939134	Auranofin
8355212	Ibuprofen
8388990	tert-butylbicyclophosphorothionate
8387662	Naltrexone
8387662	Codeine
8387662	Ibuprofen
8333405	Acetaminophen
8333405	Ibuprofen
8415243	Captopril
8415243	Nifedipine
8415243	Ibuprofen
8415243	Indomethacin
8427430	Metoclopramide
8427430	Ibuprofen
8448514	Ethanol
8013267	SK&F 104351
8013267	SK&F 105809
8013267	6-4-fluorophenyl)-2,3-dihydro-5-4-pyridinyl)imidazo2,1-b)thiazole
1361542	triflusal
1361542	4-trifluoromethylsalicylic acid
1403805	baicalein
1403805	12-Hydroxy-5,8,10,14-eicosatetraenoic Acid
1451092	Piroxicam
1451092	Sulindac
1451092	Naproxen
1451092	4-N-methyl-N-nitrosamino)-1-3-pyridyl)-1-butanone
1451092	Ibuprofen
1580178	Sulindac
1580178	Captopril
1580178	Ibuprofen
1624946	Collagen
1624946	Aspirin
1624946	Calcium
1624946	Ibuprofen
1624946	Thrombin
1500891	Ethanol
1500891	Ibuprofen
1558996	betamethasone-17,21-dipropionate
1558996	Betamethasone
1558996	Ibuprofen
1558996	Indomethacin
1546139	Moclobemide
1546139	Ibuprofen
1361697	Chlormethiazole
1361697	Benzodiazepines
1361697	Sulfamethizole
1361697	Phenytoin
1361697	Doleron
1361697	Sulfapral
1361697	Aspirin
1361697	Dextropropoxyphene
1361697	Sulfamethoxypyridazine
1361697	Antipyrine
1361697	Ibuprofen
1794223	Misoprostol
1794223	Ranitidine
1794223	Ibuprofen
1722410	Bleomycin
1722410	Etoposide
1722410	Indomethacin
1722410	Methotrexate
1758211	Ibuprofen
1682470	Acetaminophen
1682470	Ibuprofen
1855032	Lithium
1855032	Ibuprofen
1674601	Acetaminophen
1674601	Theophylline
1674601	Aspirin
1674601	Ibuprofen
2015162	Digoxin
2015162	Ibuprofen
2015162	Indomethacin
2000781	Ibuprofen
2245092	Codeine
2245092	Ibuprofen
2258452	Lithium
2212855	Captopril
2212855	Ibuprofen
2088766	Piroxicam
2088766	Apazone
2088766	Diazepam
2088766	Ibuprofen
2213774	Flurbiprofen
2213774	Ibuprofen
2213774	Methotrexate
2201204	Water
2201204	Captopril
2201204	Sodium
2201204	Ibuprofen
2167801	Captopril
2167801	Sodium
2167801	Ibuprofen
2329509	brequinar
2329509	Aspirin
2329509	Ibuprofen
2319476	Hydrogen
2319476	Dinoprost
2319476	Ibuprofen
1969784	Iron
2109074	Misoprostol
2109074	Propranolol
2109074	Alprostadil
2109074	Diazepam
2109074	Antipyrine
2573442	Charcoal
2573442	Salicylic Acid
2573442	Aspirin
2772693	Lithium
2772693	Ibuprofen
2775619	Cimetidine
2775619	Ibuprofen
2730989	Warfarin
2730989	Ibuprofen
2784662	Ibuprofen
2784662	Methotrexate
2668495	alminoprofen
2668495	Kaolin
2668495	Captopril
2668495	Acetylcholine
2668495	Ibuprofen
2668495	Indomethacin
2783873	Warfarin
2783873	Ibuprofen
2786217	Ibuprofen
2618985	Ibuprofen
2618985	Methotrexate
2500054	3-mercaptopicolinic acid
2500054	hydroxycitric acid
2500054	Glucose
2500054	Ibuprofen
2494673	Ibuprofen
3236208	laurocapram
3236208	Ethanol
3236208	Ibuprofen
3236208	Indomethacin
3266606	480156-S
3266606	Cimetidine
3266606	Cytochrome P-450 Enzyme System
3266606	Pentobarbital
3266606	Diazepam
3266606	Ibuprofen
3266606	Oxygenases
3266606	7-Alkoxycoumarin O-Dealkylase
3229792	enfenamic acid
3229792	Copper
3229792	Ibuprofen
2852278	Dronabinol
2852278	delta9)-tetrahydrocannabinolic acid
2852278	Ibuprofen
3395672	Cefixime
3395672	Cefotaxime
3258319	Ibuprofen
2905991	Cimetidine
2905991	Nizatidine
2905991	Ibuprofen
2837564	Bromocriptine
2837564	Warfarin
2837564	Enalapril
2837564	Digoxin
2837564	Cimetidine
2837564	Captopril
2837564	Ibuprofen
3315620	Piroxicam
3315620	tenoxicam
3436338	Warfarin
2883408	Beclomethasone
2883408	Albuterol
2883408	Ibuprofen
3665393	aluminum hydroxide, magnesium hydroxide, drug combination
3665393	Aluminum Hydroxide
3665393	Magnesium Hydroxide
3665393	Ibuprofen
3301148	Cimetidine
3558329	Lithium
3558329	Creatinine
3558329	Ibuprofen
3105360	Angiotensin II
3105360	Arachidonic Acid
3105360	4,5-Dihydro-1-3-trifluoromethyl)phenyl)-1H-pyrazol-3-amine
3105360	Halothane
3105360	Ibuprofen
3038070	Propyl Gallate
3038070	Eicosapentaenoic Acid
3038070	Methylene Blue
3030141	Superoxides
3030141	Meclofenamic Acid
3030141	Thromboxane B2
3030141	6-Ketoprostaglandin F1 alpha
3030141	Ibuprofen
3030141	Thrombin
3027173	Leukotriene B4
3027173	Arachidonic Acid
3027173	Leukotriene E4
3027173	Dinoprostone
3027173	Indomethacin
3447126	Acetaminophen
3447126	flupirtine
3447126	Aspirin
3447126	Ibuprofen
3447126	Indomethacin
3112809	Valproic Acid
3112809	Ammonia
3112809	Salicylic Acid
3112809	2,4-Dinitrophenol
3536423	oxaprozin
3779035	Sucralfate
3779035	Ibuprofen
3728515	Propranolol
3728515	Verapamil
3728515	Ibuprofen
3526298	Ketoprofen
3514678	Sulindac
3514678	6-Ketoprostaglandin F1 alpha
3514678	Creatinine
3514678	Epoprostenol
3514678	Nifedipine
3514678	Dinoprostone
3514678	Potassium
3514678	Calcium
3514678	Ibuprofen
3514678	Prazosin
3514678	Indomethacin
3954932	Phenytoin
3954932	Ibuprofen
3956563	timegadine
3956563	Ibuprofen
3541005	Guanfacine
3516751	Ibuprofen
4064467	Cimetidine
4064467	Ranitidine
4064467	Ibuprofen
3908075	Suprofen
3931088	Arginine Vasopressin
3931088	Meclofenamic Acid
3931088	Ibuprofen
2998203	Water
2998203	Vasopressins
2998203	Sodium
2998203	Cyclic AMP
2998203	Bradykinin
2998203	Ibuprofen
2998203	Indomethacin
2998203	Pertussis Toxin
4057061	Piroxicam
4057061	Meclofenamic Acid
4057061	Naproxen
4057061	Diflunisal
4057061	Tolmetin
4057061	Phenylbutazone
4057061	Aspirin
4057061	Fenoprofen
4057061	Ibuprofen
4057061	Indomethacin
4036935	Ethanol
4036935	Aspirin
4036935	Ibuprofen
4069236	Ibuprofen
4076417	Diclofenac
4076417	Morphine
4076417	Ibuprofen
4076417	Indomethacin
4053523	Ibuprofen
4028621	Doxepin
4028621	methyl nicotinate
4028621	Aspirin
4028621	Ibuprofen
4028621	Indomethacin
2867832	Ibuprofen
3974406	Warfarin
3974406	Phenylbutazone
3886353	tiaprofenic acid
3886353	Naproxen
3886353	Aspirin
3886353	Indomethacin
2579584	Vasopressins
2579584	8-Bromo Cyclic Adenosine Monophosphate
2579584	Thromboxane B2
2579584	Cyclic AMP
2579584	Dinoprostone
2579584	1-Methyl-3-isobutylxanthine
2579584	Ibuprofen
2579584	Phospholipases
3926371	Lysine
3926371	solufenum
3926371	Ibuprofen
4043439	Ethanol
4043439	Ibuprofen
4043439	Alkaline Phosphatase
3969852	Ibuprofen
3871686	Diflunisal
3871686	zomepirac
3871686	Tolmetin
3871686	Aspirin
3871686	Ibuprofen
2864708	Benzodiazepines
2864708	methylxanthine
2864708	Acetaminophen
2864708	Procaine
2864708	Cimetidine
2864708	Lidocaine
2864708	diaziquone
2864708	Imipramine
2864708	Aspirin
2864708	Ibuprofen
6150987	Meptazinol
6150987	Ibuprofen
6487504	Cimetidine
6487504	Ibuprofen
6386426	Piroxicam
6500764	Phenylbutazone
6500764	Ibuprofen
6500764	Chlorpropamide
6239888	Sulfadiazine
6239888	Butylscopolammonium Bromide
6239888	Dipyrone
6239888	Tetracycline
6239888	Oxyphenbutazone
6239888	Aspirin
6239888	Ibuprofen
6465162	Sulindac
6465162	Acetaminophen
6465162	Aspirin
6465162	Ibuprofen
6431807	Warfarin
6431807	Phenytoin
6431807	Digoxin
6431807	Lithium
6431807	Aspirin
6431807	Ibuprofen
6431807	Indomethacin
6235745	Warfarin
6235745	Aspirin
6235745	Ibuprofen
6738449	Ibuprofen
6712310	Salicylic Acid
6712310	Ibuprofen
6718807	Cimetidine
6718807	Proadifen
6718807	Ibuprofen
6697891	Digoxin
6697891	Ibuprofen
6423406	Naproxen
6423406	Ibuprofen
6423406	Epinephrine
6627831	Acetaminophen
6627831	Ibuprofen
6136240	Methylprednisolone Hemisuccinate
6136240	Ibuprofen
6136240	Methylprednisolone
6409656	Morphine
6839961	Digoxin
6839961	Ibuprofen
6604023	Salicylic Acid
6824810	Serotonin
6343454	zomepirac
6343454	Tolmetin
6343454	Ibuprofen
7123429	Phenytoin
7123429	Ibuprofen
6816243	Prostaglandin-Endoperoxide Synthases
7172338	Epirizole
7172338	Ibuprofen
7111202	Ibuprofen
6763202	Codeine
6763202	Aspirin
6763202	Ibuprofen
7062964	Aspirin
7062964	Ibuprofen
7062964	Indomethacin
7075085	Flurbiprofen
7075085	Warfarin
7075085	Salicylic Acid
7075085	Ibuprofen
7075085	Indomethacin
7300710	Pindolol
7300710	Ibuprofen
6792430	Arachidonic Acid
6792430	Ibuprofen
6792430	Indomethacin
7440513	Lithium
7440513	Ibuprofen
7440513	Indomethacin
7408965	Carrageenan
7422016	Amodiaquine
6772422	Diclofenac
6772422	Naproxen
6772422	Aspirin
6772422	Ibuprofen
6772422	Indomethacin
6105183	Phenprocoumon
7377119	Acetaminophen
7377119	Digoxin
7377119	Quinine
7377119	Quinidine
7377119	Aspirin
7377119	Ibuprofen
7377119	Indomethacin
391529	Flurbiprofen
391117	Ibuprofen
387372	Naproxen
506746	Sodium Salicylate
506746	Indomethacin
488131	Ethanol
488131	Magnesium
488131	Aspirin
488131	Calcium
488131	Esterases
355965	Aspirin
355965	Ibuprofen
657826	Aspirin
657826	Ibuprofen
657826	Indomethacin
405188	Flurbiprofen
405188	Ibuprofen
405188	Indomethacin
405188	Mixed Function Oxygenases
300197	Aspirin
300197	Ibuprofen
1070518	Pregnenolone Carbonitrile
1070518	Thyroxine
813951	Warfarin
813951	Thromboplastin
813951	Ibuprofen
1173655	Aspirin
1173655	Ibuprofen
1153803	Mefenamic Acid
1153803	Phenylbutazone
1153803	Aspirin
1153803	Ibuprofen
1153803	Indomethacin
1122255	Hexobarbital
1122255	Ascorbic Acid
1122255	Ibuprofen
1122255	Phenobarbital
1122255	Aminopyrine N-Demethylase
4445574	Freund's Adjuvant
4445574	Aspirin
4202799	Pentobarbital
4202799	Phenobarbital
4202799	Sulfatases
4202799	Glucuronidase
4579839	Antistreptolysin
4579839	C-Reactive Protein
4579839	Aspirin
